Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,086077,2021,06,06,0.6,1,N
IDCJAC0009,086077,2021,06,07,0.0,1,N
IDCJAC0009,086077,2021,06,08,4.4,1,N
IDCJAC0009,086077,2021,06,09,14.6,1,N
IDCJAC0009,086077,2021,06,10,12.8,1,N
IDCJAC0009,086077,2021,06,11,0.2,1,N
IDCJAC0009,086077,2021,06,12,8.4,1,N
IDCJAC0009,086077,2021,06,13,0.0,1,N
IDCJAC0009,086077,2021,06,14,0.0,1,N
IDCJAC0009,086077,2021,06,15,0.0,1,N
IDCJAC0009,086077,2021,06,16,2.4,1,N
IDCJAC0009,086077,2021,06,17,0.2,1,N
IDCJAC0009,086077,2021,06,18,3.0,1,N
IDCJAC0009,086077,2021,06,19,2.0,1,N
IDCJAC0009,086077,2021,06,20,0.2,1,N
IDCJAC0009,086077,2021,06,21,0.2,1,N
IDCJAC0009,086077,2021,06,22,0.0,1,N
IDCJAC0009,086077,2021,06,23,0.0,1,N
IDCJAC0009,086077,2021,06,24,0.8,1,N
IDCJAC0009,086077,2021,06,25,1.0,1,N
IDCJAC0009,086077,2021,06,26,7.2,1,N
IDCJAC0009,086077,2021,06,27,0.2,1,N
IDCJAC0009,086077,2021,06,28,0.0,1,N
IDCJAC0009,086077,2021,06,29,0.0,1,N
IDCJAC0009,086077,2021,06,30,0.2,1,N
IDCJAC0009,086077,2021,07,01,0.0,1,N
IDCJAC0009,086077,2021,07,02,0.0,1,N
IDCJAC0009,086077,2021,07,03,8.8,1,N
IDCJAC0009,086077,2021,07,04,0.0,1,N
IDCJAC0009,086077,2021,07,05,2.0,1,N
IDCJAC0009,086077,2021,07,06,0.0,1,N
IDCJAC0009,086077,2021,07,07,0.0,1,N
IDCJAC0009,086077,2021,07,08,0.0,1,N
IDCJAC0009,086077,2021,07,09,0.0,1,N
IDCJAC0009,086077,2021,07,10,0.2,1,N
IDCJAC0009,086077,2021,07,11,0.0,1,N
IDCJAC0009,086077,2021,07,12,0.0,1,N
IDCJAC0009,086077,2021,07,13,2.4,1,N
IDCJAC0009,086077,2021,07,14,1.8,1,N
IDCJAC0009,086077,2021,07,15,2.4,1,N
IDCJAC0009,086077,2021,07,16,0.0,1,N
IDCJAC0009,086077,2021,07,17,0.8,1,N
IDCJAC0009,086077,2021,07,18,6.0,1,N
IDCJAC0009,086077,2021,07,19,0.0,1,N
IDCJAC0009,086077,2021,07,20,2.4,1,N
IDCJAC0009,086077,2021,07,21,7.0,1,N
IDCJAC0009,086077,2021,07,22,1.0,1,N
